index,Class
13348,LowIncome
26378,LowIncome
4813,LowIncome
48378,LowIncome
10368,LowIncome
17217,LowIncome
39991,LowIncome
47125,LowIncome
48791,HighIncome
22262,LowIncome
25588,LowIncome
13455,HighIncome
16794,HighIncome
40211,LowIncome
27541,HighIncome
8509,LowIncome
46203,LowIncome
44801,LowIncome
46602,LowIncome
38211,LowIncome
19211,LowIncome
15174,LowIncome
12026,LowIncome
34711,HighIncome
45736,LowIncome
22132,LowIncome
15158,LowIncome
16355,LowIncome
36175,LowIncome
15731,LowIncome
19788,LowIncome
24330,LowIncome
4928,HighIncome
7026,LowIncome
26418,HighIncome
41461,HighIncome
42428,LowIncome
19737,LowIncome
37147,LowIncome
26036,LowIncome
46310,LowIncome
13624,HighIncome
27127,LowIncome
30496,LowIncome
9939,HighIncome
33265,LowIncome
45212,LowIncome
24988,LowIncome
42811,LowIncome
8464,LowIncome
1667,HighIncome
4482,HighIncome
36325,LowIncome
7892,LowIncome
47932,LowIncome
21654,LowIncome
43112,LowIncome
47912,LowIncome
8507,HighIncome
46400,LowIncome
5498,LowIncome
28343,HighIncome
32154,HighIncome
30775,HighIncome
7860,LowIncome
42074,LowIncome
47797,HighIncome
19966,LowIncome
10769,LowIncome
39599,HighIncome
25306,LowIncome
17041,LowIncome
6754,LowIncome
12697,LowIncome
8262,LowIncome
37852,LowIncome
13038,LowIncome
28904,LowIncome
45500,LowIncome
33928,LowIncome
29225,LowIncome
4425,HighIncome
5526,LowIncome
8648,LowIncome
32692,LowIncome
2670,HighIncome
39190,LowIncome
13196,LowIncome
32147,LowIncome
29535,LowIncome
3065,LowIncome
29744,HighIncome
23128,LowIncome
47138,LowIncome
26652,LowIncome
34548,LowIncome
22770,LowIncome
40526,LowIncome
42302,HighIncome
41436,LowIncome
12788,LowIncome
4786,LowIncome
23562,LowIncome
38348,LowIncome
8109,LowIncome
18009,HighIncome
1849,LowIncome
14213,LowIncome
44455,HighIncome
31115,LowIncome
43147,LowIncome
34060,LowIncome
36722,HighIncome
16088,HighIncome
18875,LowIncome
15842,LowIncome
10,HighIncome
42147,LowIncome
19054,LowIncome
36060,LowIncome
5143,HighIncome
41765,LowIncome
39826,HighIncome
16432,LowIncome
26065,LowIncome
18811,LowIncome
31902,HighIncome
47643,LowIncome
31101,LowIncome
23993,LowIncome
37490,HighIncome
14837,LowIncome
5481,LowIncome
47292,HighIncome
13519,LowIncome
10940,LowIncome
46727,LowIncome
27348,LowIncome
5923,HighIncome
13683,LowIncome
29041,LowIncome
31187,LowIncome
31518,LowIncome
6861,HighIncome
46279,LowIncome
600,HighIncome
32380,LowIncome
46292,HighIncome
21143,HighIncome
22290,LowIncome
39336,HighIncome
7356,HighIncome
40721,HighIncome
32512,LowIncome
43345,LowIncome
23797,LowIncome
6336,HighIncome
30156,LowIncome
21044,HighIncome
12301,LowIncome
20475,LowIncome
21567,LowIncome
29440,LowIncome
19062,HighIncome
1878,LowIncome
460,LowIncome
18578,LowIncome
48674,LowIncome
42324,LowIncome
24408,LowIncome
13936,LowIncome
11544,HighIncome
42405,HighIncome
14520,HighIncome
40699,LowIncome
32345,LowIncome
25493,LowIncome
32360,HighIncome
17430,HighIncome
27108,LowIncome
29749,LowIncome
48327,HighIncome
7051,LowIncome
1468,LowIncome
36347,LowIncome
37107,LowIncome
42207,HighIncome
18755,LowIncome
35312,HighIncome
14343,LowIncome
18496,HighIncome
8249,LowIncome
47756,HighIncome
20072,LowIncome
44224,LowIncome
6367,LowIncome
33677,LowIncome
410,LowIncome
47770,HighIncome
25054,HighIncome
36921,LowIncome
10440,LowIncome
8606,LowIncome
27449,HighIncome
16532,LowIncome
5518,LowIncome
4643,LowIncome
10391,LowIncome
40911,HighIncome
11995,LowIncome
38196,LowIncome
13327,HighIncome
6579,HighIncome
19764,LowIncome
439,HighIncome
16098,LowIncome
6092,LowIncome
45801,LowIncome
4219,HighIncome
17728,LowIncome
31301,LowIncome
21075,LowIncome
3473,LowIncome
19707,LowIncome
43416,LowIncome
47845,HighIncome
29838,LowIncome
15781,LowIncome
19587,LowIncome
45966,LowIncome
9208,HighIncome
22004,LowIncome
3252,HighIncome
21549,LowIncome
16438,LowIncome
32529,LowIncome
36390,LowIncome
6149,HighIncome
37295,HighIncome
39455,LowIncome
905,LowIncome
11936,LowIncome
28868,LowIncome
16523,LowIncome
39121,HighIncome
41052,LowIncome
18585,HighIncome
13673,LowIncome
40565,LowIncome
2430,LowIncome
48374,LowIncome
41435,LowIncome
43970,LowIncome
27139,HighIncome
46125,LowIncome
43774,LowIncome
7275,LowIncome
10389,LowIncome
48130,LowIncome
11279,LowIncome
31166,LowIncome
8860,LowIncome
33345,LowIncome
568,LowIncome
47691,LowIncome
5446,LowIncome
30896,LowIncome
17018,LowIncome
41712,LowIncome
5889,LowIncome
3468,LowIncome
41853,LowIncome
8430,LowIncome
30054,LowIncome
24014,HighIncome
30057,LowIncome
40323,LowIncome
29282,LowIncome
6873,LowIncome
32073,LowIncome
34330,LowIncome
8898,LowIncome
40534,LowIncome
10880,LowIncome
11121,LowIncome
40927,LowIncome
34584,LowIncome
5856,LowIncome
47339,LowIncome
12570,HighIncome
33615,LowIncome
3461,LowIncome
22203,LowIncome
9244,LowIncome
42823,LowIncome
9860,LowIncome
22756,HighIncome
27824,LowIncome
18559,LowIncome
45677,LowIncome
37951,LowIncome
16045,LowIncome
43186,HighIncome
16223,LowIncome
4537,LowIncome
34865,LowIncome
33184,HighIncome
43242,LowIncome
13769,LowIncome
9540,HighIncome
30522,LowIncome
23137,LowIncome
10030,LowIncome
4257,LowIncome
21428,LowIncome
827,LowIncome
16965,LowIncome
5214,HighIncome
3897,LowIncome
42962,HighIncome
17487,LowIncome
2243,HighIncome
39812,LowIncome
2958,LowIncome
14199,LowIncome
29754,LowIncome
34531,HighIncome
11040,LowIncome
38095,LowIncome
36383,LowIncome
35918,LowIncome
14342,LowIncome
26871,HighIncome
44275,HighIncome
21690,LowIncome
12641,LowIncome
5874,HighIncome
20258,LowIncome
47572,LowIncome
15461,LowIncome
1534,LowIncome
28944,LowIncome
48723,LowIncome
17926,HighIncome
11340,LowIncome
37289,LowIncome
30782,LowIncome
36670,LowIncome
37055,LowIncome
26417,HighIncome
13886,LowIncome
44564,LowIncome
6512,LowIncome
45384,HighIncome
35761,HighIncome
17890,LowIncome
36089,LowIncome
6530,HighIncome
40904,LowIncome
4135,LowIncome
36395,LowIncome
36723,HighIncome
22465,HighIncome
1704,LowIncome
31063,LowIncome
308,HighIncome
45295,LowIncome
19884,LowIncome
46628,LowIncome
27081,LowIncome
22215,LowIncome
19708,LowIncome
30811,LowIncome
22611,HighIncome
13557,LowIncome
48257,LowIncome
4053,LowIncome
28066,HighIncome
17355,LowIncome
3716,LowIncome
20050,LowIncome
23687,LowIncome
37198,LowIncome
37740,LowIncome
6569,LowIncome
22098,HighIncome
14929,LowIncome
30935,LowIncome
21745,LowIncome
46540,HighIncome
29187,HighIncome
22138,HighIncome
18560,LowIncome
13677,LowIncome
46678,HighIncome
5563,LowIncome
11991,LowIncome
19463,LowIncome
21402,HighIncome
5574,LowIncome
11718,LowIncome
19638,LowIncome
4376,LowIncome
27479,LowIncome
4733,LowIncome
38120,LowIncome
15008,LowIncome
11842,LowIncome
10826,LowIncome
27393,LowIncome
9140,LowIncome
15259,LowIncome
19057,LowIncome
35192,LowIncome
25837,LowIncome
28299,HighIncome
30272,HighIncome
14584,HighIncome
40226,LowIncome
19090,LowIncome
3572,HighIncome
36021,HighIncome
27093,LowIncome
48715,LowIncome
6054,LowIncome
47772,HighIncome
18371,HighIncome
40858,LowIncome
43275,LowIncome
46017,LowIncome
15885,LowIncome
32564,HighIncome
8008,HighIncome
36026,HighIncome
13007,LowIncome
44411,LowIncome
5064,LowIncome
48345,LowIncome
13393,LowIncome
12534,HighIncome
35596,LowIncome
3876,LowIncome
1937,HighIncome
39165,LowIncome
12422,LowIncome
33376,LowIncome
44321,LowIncome
18861,HighIncome
31444,LowIncome
22620,LowIncome
21806,LowIncome
28233,HighIncome
13184,HighIncome
47849,LowIncome
1840,HighIncome
29386,LowIncome
26824,HighIncome
46272,LowIncome
11204,LowIncome
16007,LowIncome
15019,HighIncome
22269,LowIncome
27510,LowIncome
15981,LowIncome
31368,HighIncome
45898,LowIncome
42326,LowIncome
40999,LowIncome
3586,LowIncome
30925,HighIncome
6360,LowIncome
47237,LowIncome
10951,HighIncome
15923,LowIncome
13958,LowIncome
10439,LowIncome
4954,LowIncome
36862,LowIncome
11114,LowIncome
41510,LowIncome
5468,LowIncome
40653,LowIncome
2225,HighIncome
14457,LowIncome
35540,LowIncome
45673,HighIncome
10340,HighIncome
9940,HighIncome
48165,HighIncome
28829,LowIncome
48043,LowIncome
19112,LowIncome
32289,LowIncome
39883,LowIncome
30033,LowIncome
26629,LowIncome
6663,HighIncome
34034,LowIncome
21897,LowIncome
37507,HighIncome
18540,LowIncome
9204,LowIncome
44599,HighIncome
17201,LowIncome
30436,LowIncome
11501,LowIncome
6657,LowIncome
7518,HighIncome
42785,LowIncome
14933,LowIncome
12917,HighIncome
19725,LowIncome
10183,HighIncome
6575,LowIncome
4929,LowIncome
21122,LowIncome
44560,LowIncome
21947,HighIncome
10777,LowIncome
24547,HighIncome
11029,LowIncome
38091,LowIncome
38658,LowIncome
16686,HighIncome
30840,LowIncome
6323,LowIncome
23870,LowIncome
40939,LowIncome
28213,LowIncome
42231,LowIncome
41905,LowIncome
16759,LowIncome
13309,LowIncome
4041,LowIncome
28115,LowIncome
46462,LowIncome
44562,LowIncome
41618,LowIncome
40339,LowIncome
18373,LowIncome
34612,LowIncome
47247,LowIncome
18791,LowIncome
22910,LowIncome
34008,LowIncome
11058,LowIncome
10181,HighIncome
36798,LowIncome
127,LowIncome
48262,LowIncome
41552,HighIncome
16215,HighIncome
24961,LowIncome
33570,LowIncome
40959,LowIncome
6047,LowIncome
499,LowIncome
41018,LowIncome
38665,HighIncome
27859,HighIncome
44677,LowIncome
42120,LowIncome
13483,LowIncome
42407,LowIncome
47066,LowIncome
40493,LowIncome
45226,LowIncome
34979,LowIncome
6789,LowIncome
29222,LowIncome
1107,LowIncome
19801,LowIncome
30945,LowIncome
7355,HighIncome
7933,HighIncome
2927,LowIncome
13739,LowIncome
22642,LowIncome
13234,LowIncome
37547,LowIncome
19821,HighIncome
25598,LowIncome
36647,HighIncome
25032,HighIncome
11039,LowIncome
46178,LowIncome
22484,LowIncome
26776,LowIncome
32631,LowIncome
18581,LowIncome
40376,LowIncome
37944,LowIncome
47973,LowIncome
36397,LowIncome
48750,LowIncome
38527,HighIncome
6225,LowIncome
20807,LowIncome
34688,LowIncome
21598,LowIncome
1621,LowIncome
23013,LowIncome
21066,LowIncome
28727,HighIncome
47917,LowIncome
19505,HighIncome
38898,LowIncome
20239,HighIncome
10005,LowIncome
12051,LowIncome
32875,LowIncome
32393,LowIncome
38662,LowIncome
17399,HighIncome
13104,LowIncome
21573,LowIncome
6935,LowIncome
22569,LowIncome
35823,LowIncome
39267,LowIncome
22987,LowIncome
5283,LowIncome
4150,HighIncome
15530,LowIncome
44581,HighIncome
43487,LowIncome
23822,LowIncome
36705,LowIncome
48227,HighIncome
42448,LowIncome
7804,HighIncome
36937,LowIncome
5454,LowIncome
25916,LowIncome
48477,LowIncome
18787,LowIncome
47144,LowIncome
33226,HighIncome
25705,LowIncome
38858,LowIncome
34192,LowIncome
35936,HighIncome
13329,HighIncome
28425,LowIncome
859,LowIncome
28360,LowIncome
7547,LowIncome
19917,LowIncome
7878,LowIncome
26686,LowIncome
2583,HighIncome
42171,HighIncome
33861,LowIncome
1315,LowIncome
42093,LowIncome
13705,HighIncome
30560,HighIncome
38783,LowIncome
20560,LowIncome
6300,LowIncome
17514,LowIncome
32009,LowIncome
4072,HighIncome
46631,LowIncome
12362,LowIncome
45817,LowIncome
27180,LowIncome
12475,LowIncome
14016,HighIncome
48448,LowIncome
24083,LowIncome
26285,LowIncome
1579,LowIncome
11800,HighIncome
12327,LowIncome
1836,LowIncome
31118,LowIncome
36804,HighIncome
23932,LowIncome
4934,LowIncome
3798,LowIncome
28104,LowIncome
4228,LowIncome
11864,LowIncome
81,LowIncome
31842,HighIncome
32409,LowIncome
1308,LowIncome
33936,LowIncome
14840,LowIncome
46060,LowIncome
17854,LowIncome
2580,LowIncome
32046,LowIncome
1109,LowIncome
42172,LowIncome
43155,LowIncome
40207,HighIncome
24058,HighIncome
11654,LowIncome
9776,LowIncome
45162,HighIncome
20599,LowIncome
30754,LowIncome
24773,LowIncome
48836,LowIncome
762,HighIncome
1417,LowIncome
14001,LowIncome
40968,LowIncome
21735,LowIncome
10337,HighIncome
12664,LowIncome
180,LowIncome
44953,LowIncome
606,LowIncome
47516,HighIncome
39858,LowIncome
18749,LowIncome
22614,LowIncome
26761,LowIncome
27215,LowIncome
4273,LowIncome
18592,HighIncome
21943,LowIncome
5083,HighIncome
5223,HighIncome
30324,LowIncome
15225,LowIncome
14470,LowIncome
25839,HighIncome
29049,LowIncome
20052,LowIncome
44118,HighIncome
19483,LowIncome
32282,LowIncome
36551,LowIncome
21444,LowIncome
39474,LowIncome
46162,LowIncome
8895,HighIncome
8148,LowIncome
40892,LowIncome
20602,LowIncome
33812,LowIncome
8982,LowIncome
39423,LowIncome
30143,HighIncome
25066,LowIncome
37880,HighIncome
34952,LowIncome
38377,LowIncome
39641,LowIncome
17099,LowIncome
35854,LowIncome
29579,LowIncome
33339,HighIncome
46098,LowIncome
45075,LowIncome
29401,HighIncome
34626,LowIncome
22375,LowIncome
10874,LowIncome
28978,LowIncome
36985,HighIncome
7050,LowIncome
33703,HighIncome
29795,HighIncome
5222,LowIncome
1130,LowIncome
41407,LowIncome
7392,LowIncome
39056,LowIncome
10357,LowIncome
29185,HighIncome
6407,LowIncome
19970,LowIncome
29726,LowIncome
20927,LowIncome
5014,LowIncome
13535,HighIncome
23416,LowIncome
45562,LowIncome
12022,LowIncome
39387,HighIncome
13880,LowIncome
15248,LowIncome
39043,HighIncome
13517,HighIncome
5645,HighIncome
42687,LowIncome
8703,HighIncome
35372,LowIncome
32312,LowIncome
26531,LowIncome
45888,LowIncome
21038,LowIncome
6162,LowIncome
6299,LowIncome
8005,LowIncome
34557,LowIncome
24226,LowIncome
37011,LowIncome
27805,LowIncome
14325,LowIncome
40390,LowIncome
14950,HighIncome
12811,LowIncome
14393,LowIncome
47101,HighIncome
11786,LowIncome
33798,LowIncome
3721,LowIncome
34287,HighIncome
40055,LowIncome
24737,LowIncome
73,LowIncome
42465,LowIncome
28477,LowIncome
15793,LowIncome
42516,LowIncome
44890,LowIncome
44613,LowIncome
4876,LowIncome
9067,LowIncome
39546,LowIncome
5274,LowIncome
7028,LowIncome
1773,LowIncome
11123,LowIncome
18176,HighIncome
24872,LowIncome
42076,LowIncome
38208,HighIncome
36662,HighIncome
14491,LowIncome
26982,LowIncome
48616,LowIncome
4572,LowIncome
13943,LowIncome
38740,LowIncome
21090,LowIncome
32224,LowIncome
18494,HighIncome
36340,LowIncome
3955,LowIncome
43495,HighIncome
531,LowIncome
37297,HighIncome
25988,LowIncome
38845,HighIncome
30121,HighIncome
16610,LowIncome
18269,LowIncome
34381,LowIncome
44998,HighIncome
39040,LowIncome
4267,LowIncome
46737,LowIncome
21079,LowIncome
9722,LowIncome
32754,LowIncome
10346,HighIncome
9645,LowIncome
30815,LowIncome
5917,LowIncome
42750,LowIncome
15352,LowIncome
9522,LowIncome
20587,HighIncome
13538,HighIncome
5396,LowIncome
32902,HighIncome
6984,LowIncome
23351,LowIncome
31861,LowIncome
2685,LowIncome
9681,LowIncome
45554,HighIncome
39168,LowIncome
6829,LowIncome
34685,LowIncome
18636,LowIncome
36119,LowIncome
152,LowIncome
21225,HighIncome
37990,LowIncome
47325,LowIncome
11229,LowIncome
42646,HighIncome
14663,LowIncome
16026,LowIncome
16430,LowIncome
22356,LowIncome
19065,LowIncome
26335,LowIncome
4098,LowIncome
13595,HighIncome
20388,LowIncome
25109,LowIncome
18573,LowIncome
18076,HighIncome
44152,LowIncome
14272,LowIncome
36481,HighIncome
18543,LowIncome
44438,LowIncome
2337,LowIncome
28326,LowIncome
20744,LowIncome
26368,LowIncome
37431,HighIncome
46381,LowIncome
45192,LowIncome
8719,HighIncome
20547,HighIncome
28336,LowIncome
38983,LowIncome
43118,LowIncome
2045,HighIncome
39049,LowIncome
40550,LowIncome
15825,HighIncome
22369,LowIncome
10755,LowIncome
33002,HighIncome
21149,LowIncome
32356,LowIncome
5429,HighIncome
28832,LowIncome
15011,HighIncome
16824,LowIncome
33076,LowIncome
32975,HighIncome
16862,HighIncome
21807,LowIncome
4057,LowIncome
12407,LowIncome
12682,LowIncome
46682,HighIncome
39144,LowIncome
40614,LowIncome
47370,LowIncome
24366,LowIncome
24888,LowIncome
33931,HighIncome
26999,LowIncome
9457,LowIncome
22339,LowIncome
36058,HighIncome
15026,LowIncome
44837,LowIncome
46396,HighIncome
361,LowIncome
16020,LowIncome
23751,LowIncome
23166,LowIncome
11439,LowIncome
34108,LowIncome
15266,LowIncome
19532,LowIncome
11150,LowIncome
43236,LowIncome
11190,LowIncome
31247,LowIncome
31525,HighIncome
20330,LowIncome
19396,LowIncome
30733,HighIncome
15813,LowIncome
25750,HighIncome
41063,LowIncome
32043,HighIncome
15856,LowIncome
23136,LowIncome
45424,LowIncome
15740,HighIncome
18897,LowIncome
19481,LowIncome
602,LowIncome
40273,LowIncome
46604,LowIncome
16842,HighIncome
42419,LowIncome
21858,LowIncome
35183,LowIncome
36451,HighIncome
2562,LowIncome
14452,LowIncome
17179,HighIncome
21293,LowIncome
27338,LowIncome
47409,HighIncome
23449,LowIncome
28527,HighIncome
33848,HighIncome
46779,LowIncome
30888,LowIncome
38278,LowIncome
42132,HighIncome
19856,HighIncome
29686,LowIncome
5851,LowIncome
39050,LowIncome
37240,LowIncome
44515,HighIncome
36783,LowIncome
37480,LowIncome
22413,LowIncome
14021,LowIncome
33521,LowIncome
6893,HighIncome
3580,LowIncome
39209,LowIncome
38973,LowIncome
37797,LowIncome
31210,HighIncome
8022,HighIncome
13467,LowIncome
10677,LowIncome
39366,LowIncome
44497,LowIncome
36548,LowIncome
33850,LowIncome
6607,LowIncome
1422,LowIncome
17857,LowIncome
38791,LowIncome
19503,LowIncome
6693,LowIncome
17751,HighIncome
913,LowIncome
41816,LowIncome
38911,HighIncome
6720,LowIncome
34304,LowIncome
36411,LowIncome
32871,LowIncome
12449,LowIncome
4590,LowIncome
42380,LowIncome
44504,LowIncome
44833,LowIncome
8745,LowIncome
46096,LowIncome
47941,LowIncome
48424,LowIncome
16896,LowIncome
33983,HighIncome
8287,LowIncome
2234,LowIncome
43436,LowIncome
23240,LowIncome
18990,LowIncome
20354,LowIncome
38199,LowIncome
11930,LowIncome
29875,HighIncome
39684,HighIncome
5320,LowIncome
13294,LowIncome
29166,LowIncome
47364,LowIncome
28109,LowIncome
29027,HighIncome
35644,HighIncome
6158,LowIncome
1993,LowIncome
7678,LowIncome
39638,HighIncome
10693,HighIncome
32027,HighIncome
39030,HighIncome
15719,HighIncome
39874,LowIncome
22552,LowIncome
12500,LowIncome
26520,LowIncome
13110,LowIncome
42083,HighIncome
16639,LowIncome
41077,LowIncome
21522,LowIncome
33283,HighIncome
6903,LowIncome
8948,LowIncome
42819,LowIncome
32762,LowIncome
27857,HighIncome
36710,LowIncome
12027,LowIncome
34731,HighIncome
45264,LowIncome
9628,LowIncome
43389,LowIncome
48335,LowIncome
13488,LowIncome
17797,HighIncome
46995,LowIncome
37071,LowIncome
9124,LowIncome
7648,LowIncome
2752,LowIncome
43440,HighIncome
22595,LowIncome
23524,LowIncome
33900,LowIncome
38867,HighIncome
37236,LowIncome
13445,HighIncome
33438,LowIncome
16171,LowIncome
24222,LowIncome
24549,HighIncome
32475,LowIncome
18109,LowIncome
22808,LowIncome
16273,LowIncome
41326,LowIncome
14022,LowIncome
19521,LowIncome
26316,LowIncome
43380,LowIncome
44526,HighIncome
29981,LowIncome
8213,LowIncome
17620,LowIncome
2064,LowIncome
34884,LowIncome
4851,LowIncome
34210,LowIncome
18383,LowIncome
26332,LowIncome
22816,HighIncome
11152,HighIncome
6683,LowIncome
48040,LowIncome
9169,LowIncome
22072,HighIncome
6073,LowIncome
8429,HighIncome
10435,LowIncome
8060,LowIncome
43174,LowIncome
34558,LowIncome
14665,LowIncome
37587,LowIncome
14362,LowIncome
42310,LowIncome
1575,LowIncome
31001,LowIncome
1551,LowIncome
30961,LowIncome
45302,LowIncome
15444,LowIncome
15096,HighIncome
2600,LowIncome
44427,LowIncome
33387,LowIncome
31052,LowIncome
41341,LowIncome
41688,LowIncome
6906,HighIncome
15876,LowIncome
39047,LowIncome
43893,LowIncome
7307,LowIncome
9679,LowIncome
29072,LowIncome
40828,HighIncome
3092,LowIncome
32225,HighIncome
20788,LowIncome
4210,HighIncome
11814,LowIncome
1141,HighIncome
33733,LowIncome
28439,LowIncome
34706,LowIncome
18287,LowIncome
11994,LowIncome
34593,LowIncome
31612,HighIncome
29531,LowIncome
20746,HighIncome
19684,LowIncome
1014,LowIncome
40104,LowIncome
40258,HighIncome
21621,LowIncome
28314,LowIncome
44056,LowIncome
39218,HighIncome
15373,LowIncome
33380,LowIncome
3588,LowIncome
44116,LowIncome
26893,LowIncome
34511,LowIncome
2218,HighIncome
33503,LowIncome
31319,LowIncome
16519,HighIncome
2052,LowIncome
39215,LowIncome
6707,LowIncome
10309,LowIncome
13072,HighIncome
18691,LowIncome
24632,HighIncome
27615,HighIncome
9952,LowIncome
37734,HighIncome
33766,HighIncome
23102,LowIncome
23716,LowIncome
15372,HighIncome
11528,LowIncome
20693,LowIncome
30650,LowIncome
20063,LowIncome
24044,LowIncome
33629,LowIncome
38994,HighIncome
27494,LowIncome
12652,HighIncome
9799,LowIncome
30799,HighIncome
46074,LowIncome
20352,LowIncome
26101,HighIncome
31397,LowIncome
23917,LowIncome
4371,HighIncome
13272,HighIncome
223,HighIncome
7292,LowIncome
30376,LowIncome
24064,LowIncome
25695,LowIncome
10048,LowIncome
28092,LowIncome
31557,LowIncome
16729,LowIncome
27069,LowIncome
37014,LowIncome
37202,LowIncome
6711,LowIncome
37860,LowIncome
17308,HighIncome
43004,LowIncome
9949,HighIncome
15020,LowIncome
2301,LowIncome
36287,LowIncome
15729,HighIncome
27073,HighIncome
35003,LowIncome
33871,LowIncome
23981,LowIncome
13218,HighIncome
31633,HighIncome
39828,LowIncome
2141,LowIncome
11338,LowIncome
45490,LowIncome
33115,LowIncome
41495,LowIncome
35349,HighIncome
45876,LowIncome
37450,LowIncome
30325,LowIncome
21820,LowIncome
4457,LowIncome
9789,LowIncome
37247,LowIncome
35274,LowIncome
48800,HighIncome
45119,LowIncome
39846,LowIncome
30333,LowIncome
43301,LowIncome
40993,LowIncome
39843,HighIncome
23861,LowIncome
17,LowIncome
11003,LowIncome
27538,LowIncome
35000,LowIncome
31360,LowIncome
35662,LowIncome
47263,HighIncome
28557,LowIncome
13715,HighIncome
45142,LowIncome
2339,LowIncome
26366,LowIncome
31740,LowIncome
32173,HighIncome
5170,LowIncome
11776,LowIncome
7431,LowIncome
44919,LowIncome
45191,HighIncome
12800,LowIncome
43963,LowIncome
13132,LowIncome
21224,HighIncome
37446,LowIncome
23560,LowIncome
7116,HighIncome
35557,LowIncome
21126,LowIncome
30202,HighIncome
47338,LowIncome
25379,LowIncome
15297,HighIncome
34262,LowIncome
41101,LowIncome
19426,LowIncome
30216,LowIncome
16268,LowIncome
47404,LowIncome
16860,LowIncome
29400,LowIncome
934,LowIncome
12611,LowIncome
30484,LowIncome
17833,LowIncome
25437,LowIncome
15989,HighIncome
27953,LowIncome
25539,LowIncome
32594,LowIncome
10369,HighIncome
44458,LowIncome
8457,HighIncome
30957,HighIncome
1605,LowIncome
10931,LowIncome
14550,LowIncome
48045,HighIncome
8040,LowIncome
1299,LowIncome
24122,LowIncome
27618,LowIncome
16460,LowIncome
19176,LowIncome
13133,LowIncome
42956,HighIncome
37648,LowIncome
16870,LowIncome
1573,LowIncome
3071,LowIncome
16730,LowIncome
24463,HighIncome
46520,HighIncome
30539,LowIncome
45168,HighIncome
34542,LowIncome
39801,LowIncome
5264,HighIncome
